# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Sample"	"Target"	"Tm"	"Melt Peak Height"	"Melt Peak Parity Factor"
"42"	"D6"	"Sample 1"	"Target 1"	"80.918701171875"	"174962.125"	"-"
"42"	"D6"	"Sample 1"	"Target 1"	"88.04158020019531"	"1699.501953125"	"-"
"42"	"D6"	"Sample 1"	"Target 1"	"71.74114990234375"	"27121.19921875"	"-"
"42"	"D6"	"Sample 1"	"Target 1"	"64.89222717285156"	"27108.96875"	"-"
"43"	"D7"	"Sample 1"	"Target 1"	"80.9585189819336"	"173762.359375"	"-"
"43"	"D7"	"Sample 1"	"Target 1"	"63.81700134277344"	"26186.0234375"	"-"
"43"	"D7"	"Sample 1"	"Target 1"	"91.65483093261719"	"1791.2734375"	"-"
"43"	"D7"	"Sample 1"	"Target 1"	"88.63792419433594"	"1815.302734375"	"-"
"44"	"D8"	"Sample 1"	"Target 1"	"80.9585189819336"	"169742.015625"	"-"
"44"	"D8"	"Sample 1"	"Target 1"	"63.405601501464844"	"25801.85546875"	"-"
"44"	"D8"	"Sample 1"	"Target 1"	"74.65043640136719"	"27231.76171875"	"-"
"44"	"D8"	"Sample 1"	"Target 1"	"90.14637756347656"	"2199.853515625"	"-"
"45"	"D9"	"Sample 1"	"Target 1"	"80.91810607910156"	"154158.46875"	"-"
"45"	"D9"	"Sample 1"	"Target 1"	"63.38360595703125"	"25059.1953125"	"-"
"45"	"D9"	"Sample 1"	"Target 1"	"72.42483520507812"	"25878.89453125"	"-"
"46"	"D10"	"Sample 1"	"Target 1"	"80.91810607910156"	"158622.3125"	"-"
"46"	"D10"	"Sample 1"	"Target 1"	"64.75349426269531"	"26465.4140625"	"-"
"46"	"D10"	"Sample 1"	"Target 1"	"71.87687683105469"	"26979.337890625"	"-"
"46"	"D10"	"Sample 1"	"Target 1"	"93.384033203125"	"1724.1328125"	"-"
"46"	"D10"	"Sample 1"	"Target 1"	"74.61664581298828"	"27184.91015625"	"-"
"47"	"D11"	"Sample 1"	"Target 1"	"80.76512908935547"	"147449.5"	"-"
"47"	"D11"	"Sample 1"	"Target 1"	"65.43562316894531"	"23148.4375"	"-"
"47"	"D11"	"Sample 1"	"Target 1"	"92.67286682128906"	"3576.474609375"	"-"
"47"	"D11"	"Sample 1"	"Target 1"	"72.8266372680664"	"24741.583984375"	"-"
"47"	"D11"	"Sample 1"	"Target 1"	"89.52484893798828"	"2931.048828125"	"-"
"48"	"D12"	"Sample 1"	"Target 1"	"80.76512908935547"	"138091.671875"	"-"
"48"	"D12"	"Sample 1"	"Target 1"	"66.39372253417969"	"23589.873046875"	"-"
"48"	"D12"	"Sample 1"	"Target 1"	"71.18418884277344"	"25254.923828125"	"-"
"48"	"D12"	"Sample 1"	"Target 1"	"88.15614318847656"	"2487.146484375"	"-"
"49"	"E1"	"Sample 1"	"Target 1"	"80.8033676147461"	"140000.40625"	"-"
"49"	"E1"	"Sample 1"	"Target 1"	"64.4935073852539"	"22928.837890625"	"-"
"49"	"E1"	"Sample 1"	"Target 1"	"72.16873168945312"	"24226.265625"	"-"
"49"	"E1"	"Sample 1"	"Target 1"	"90.123291015625"	"1366.162109375"	"-"
"49"	"E1"	"Sample 1"	"Target 1"	"93.96090698242188"	"1486.255859375"	"-"
"50"	"E2"	"Sample 1"	"Target 1"	"80.8033676147461"	"151586.09375"	"-"
"50"	"E2"	"Sample 1"	"Target 1"	"66.96054077148438"	"25456.73046875"	"-"
"50"	"E2"	"Sample 1"	"Target 1"	"63.39704132080078"	"25390.0859375"	"-"
"50"	"E2"	"Sample 1"	"Target 1"	"90.94563293457031"	"1602.939453125"	"-"
"50"	"E2"	"Sample 1"	"Target 1"	"74.08753967285156"	"26291.84765625"	"-"
"51"	"E3"	"Sample 1"	"Target 1"	"80.9597396850586"	"169466.453125"	"-"
"51"	"E3"	"Sample 1"	"Target 1"	"71.76421356201172"	"27001.080078125"	"-"
"51"	"E3"	"Sample 1"	"Target 1"	"90.56700134277344"	"1795.4921875"	"-"
"51"	"E3"	"Sample 1"	"Target 1"	"93.9981689453125"	"1296.8203125"	"-"
"51"	"E3"	"Sample 1"	"Target 1"	"63.52941131591797"	"25277.671875"	"-"
"52"	"E4"	"Sample 1"	"Target 1"	"80.9597396850586"	"157900.46875"	"-"
"52"	"E4"	"Sample 1"	"Target 1"	"72.72493743896484"	"26355.44921875"	"-"
"52"	"E4"	"Sample 1"	"Target 1"	"63.39216613769531"	"25016.125"	"-"
"52"	"E4"	"Sample 1"	"Target 1"	"65.86260223388672"	"24931.28125"	"-"
"53"	"E5"	"Sample 1"	"Target 1"	"80.918701171875"	"155802.28125"	"-"
"53"	"E5"	"Sample 1"	"Target 1"	"73.79582214355469"	"27065.615234375"	"-"
"53"	"E5"	"Sample 1"	"Target 1"	"89.95927429199219"	"1517.490234375"	"-"
"53"	"E5"	"Sample 1"	"Target 1"	"93.38374328613281"	"1283.328125"	"-"
"53"	"E5"	"Sample 1"	"Target 1"	"63.933372497558594"	"26417.44140625"	"-"
