# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Stage Number"	"Step Number"	"Cycle Number"	"SYBR"	"ROX"
"1"	"A1"	"3"	"3"	"1"	"41685.906"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"43053.57"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"40777.52"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"42225.504"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"41046.09"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"40236.8"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"39640.586"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"38606.793"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"38134.66"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"37132.6"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"39102.074"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"37176.797"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"35590.664"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"36004.26"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"35228.66"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"33201.207"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"35023.344"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"33263.62"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"32298.168"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"34610.348"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"32492.336"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"32154.668"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"31283.078"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"30617.61"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"30310.35"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"29889.88"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"29966.484"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"28844.38"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"30334.646"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"29455.184"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"27128.42"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"28891.217"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"26271.418"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"28219.434"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"26904.719"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"25480.352"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"27017.13"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"24577.555"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"25620.652"	"0.0"
"1"	"A1"	"3"	"3"	"1"	"26476.697"	"0.0"
"2"	"A2"	"2"	"2"	"1"	"79832.16"	"393564.34"
"2"	"A2"	"2"	"2"	"2"	"81553.21"	"393562.4"
"2"	"A2"	"2"	"2"	"3"	"82827.96"	"394670.2"
"2"	"A2"	"2"	"2"	"4"	"83238.32"	"394665.0"
"2"	"A2"	"2"	"2"	"5"	"83827.29"	"394319.62"
"2"	"A2"	"2"	"2"	"6"	"84891.91"	"394012.53"
"2"	"A2"	"2"	"2"	"7"	"85792.0"	"393839.75"
"2"	"A2"	"2"	"2"	"8"	"85829.234"	"393392.28"
"2"	"A2"	"2"	"2"	"9"	"86394.234"	"392778.1"
"2"	"A2"	"2"	"2"	"10"	"87435.69"	"392409.34"
"2"	"A2"	"2"	"2"	"11"	"87534.44"	"392205.4"
"2"	"A2"	"2"	"2"	"12"	"87876.61"	"391960.34"
"2"	"A2"	"2"	"2"	"13"	"88446.375"	"391458.2"
"2"	"A2"	"2"	"2"	"14"	"90629.37"	"391133.44"
"2"	"A2"	"2"	"2"	"15"	"91358.27"	"390949.6"
"2"	"A2"	"2"	"2"	"16"	"92395.94"	"390689.53"
"2"	"A2"	"2"	"2"	"17"	"93966.11"	"390402.4"
"2"	"A2"	"2"	"2"	"18"	"96052.484"	"390155.84"
"2"	"A2"	"2"	"2"	"19"	"99284.59"	"389991.62"
"2"	"A2"	"2"	"2"	"20"	"103414.766"	"389756.66"
"2"	"A2"	"2"	"2"	"21"	"113883.766"	"389494.72"
"2"	"A2"	"2"	"2"	"22"	"133084.97"	"389315.84"
"2"	"A2"	"2"	"2"	"23"	"166050.97"	"389298.6"
"2"	"A2"	"2"	"2"	"24"	"219680.62"	"388953.44"
"2"	"A2"	"2"	"2"	"25"	"299899.4"	"388753.97"
"2"	"A2"	"2"	"2"	"26"	"402678.38"	"388778.06"
"2"	"A2"	"2"	"2"	"27"	"513513.44"	"388519.56"
"2"	"A2"	"2"	"2"	"28"	"612999.06"	"388242.38"
"2"	"A2"	"2"	"2"	"29"	"694099.44"	"387867.72"
"2"	"A2"	"2"	"2"	"30"	"756565.25"	"387724.2"
"2"	"A2"	"2"	"2"	"31"	"804268.8"	"387976.1"
"2"	"A2"	"2"	"2"	"32"	"838523.6"	"388160.3"
"2"	"A2"	"2"	"2"	"33"	"863279.4"	"387612.75"
"2"	"A2"	"2"	"2"	"34"	"881589.6"	"387400.2"
"2"	"A2"	"2"	"2"	"35"	"894447.8"	"387556.56"
"2"	"A2"	"2"	"2"	"36"	"901933.25"	"387547.38"
"2"	"A2"	"2"	"2"	"37"	"906351.6"	"387140.16"
"2"	"A2"	"2"	"2"	"38"	"909986.25"	"386969.16"
"2"	"A2"	"2"	"2"	"39"	"913809.4"	"387010.2"
"2"	"A2"	"2"	"2"	"40"	"918044.5"	"386952.75"
"2"	"A2"	"2"	"2"	"41"	"919973.2"	"386927.3"
"2"	"A2"	"2"	"2"	"42"	"921155.5"	"386522.66"
"2"	"A2"	"2"	"2"	"43"	"921488.1"	"385821.0"
"2"	"A2"	"2"	"2"	"44"	"924125.6"	"385774.53"
"2"	"A2"	"2"	"2"	"45"	"923404.1"	"386244.0"
"2"	"A2"	"3"	"3"	"1"	"960625.5"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"959027.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"959375.3"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"953528.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"950101.9"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"945726.8"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"939431.1"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"933192.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"927093.5"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"920510.75"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"915924.0"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"909741.3"	"0.0"
