# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Omit"	"Sample"	"Target"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Amp Score"	"Curve Quality"	"Result Quality Issues"	"Cq"	"Cq Confidence"	"Cq Mean"	"Cq SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Tm5"
"50"	"E2"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3591834223527095"	""	""	"24.987994340036302"	"0.9366569851299152"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.8033676147461"	""	""	""	""
"51"	"E3"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3580800667603985"	""	""	"25.128453720789466"	"0.9445771449874774"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9597396850586"	""	""	""	""
"52"	"E4"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.361896133218273"	""	""	"25.121479992127917"	"0.9383905953461391"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9597396850586"	""	""	""	""
"53"	"E5"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3653789112285895"	""	""	"23.828155431344378"	"0.9468455381217444"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"19"	"80.918701171875"	""	""	""	""
"54"	"E6"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3634783338362926"	""	""	"23.949107533554873"	"0.9443902194344801"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"80.918701171875"	""	""	""	""
"55"	"E7"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.362079085578663"	""	""	"26.2467790753865"	"0.9433930164767605"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9585189819336"	""	""	""	""
"56"	"E8"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3555990589627094"	""	""	"26.279517868242003"	"0.9236154156345939"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9585189819336"	""	""	""	""
"57"	"E9"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3665521463311803"	""	""	"26.05531980155203"	"0.9475318946568808"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.91810607910156"	""	""	""	""
"58"	"E10"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.361705037454659"	""	""	"26.02003188466354"	"0.9441358851659392"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.91810607910156"	""	""	""	""
"59"	"E11"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3609018242209725"	""	""	"21.960174685582146"	"0.937689646381108"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"18"	"80.76512908935547"	""	""	""	""
"60"	"E12"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3590896167736288"	""	""	"22.19791057976674"	"0.9380328251778237"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"18"	"80.76512908935547"	""	""	""	""
"61"	"F1"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3566367769329257"	""	""	"25.613781325733683"	"0.950388457243878"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.8033676147461"	""	""	""	""
